step,train_loss,val_loss,lr,temperature
0,5.223410606384277,5.066718047857284,2.049310573991927e-05,0.07000158485186041
50,4.876334190368652,4.751833951473236,0.000499975631099802,0.07053113867010985
100,4.632322311401367,4.641214644908905,0.00048370648427332715,0.07121910182683283
150,4.539851188659668,4.46741794347763,0.00043924900691788343,0.07170315717881895
200,4.324210166931152,4.3909729480743405,0.000371965426925024,0.07210437508776017
250,4.1087470054626465,4.390407419204712,0.000289971137041771,0.07225762064528649
300,4.184885025024414,4.360201328992844,0.0002031558587348834,0.07234743404631155
350,4.049525260925293,4.315423595905304,0.00012199079582522202,0.07238683981825697
400,4.17006778717041,4.2959914088249205,5.626565276844384e-05,0.07238761937655064
450,3.793649673461914,4.247726249694824,1.3907851816999987e-05,0.07239509099510387
